5.526907	6.871290	SR
5.526907	6.871290	s s sunset
8.723551	9.739307	SR
8.723551	9.739307	b b boating
11.770818	12.607323	SR
11.770818	12.607323	l l lake
13.413953	14.683648	SR
13.413953	14.683648	s s surrounded
16.177406	17.387351	SR
16.177406	17.387351	 t t trees
18.134230	18.881110	h h herbs
20.673620	21.584813	SR
20.673620	21.584813	 s small
21.734189	22.988946	SR
21.734189	22.988946	w w waterfall
23.900139	25.154896	SR
23.900139	25.154896	 n n near
25.752399	27.425409	SR
25.752399	27.425409	 h h houses
