1.009198	5.843584	SR
1.009198	5.859861	Th th throughout
11.410452	13.396294	SR
11.410452	13.396294	t t the
20.460682	22.413969	SR 
20.460682	22.413969	m m miracle
24.709082	27.443684	B
24.709082	27.443684	physical_explaination
31.985076	33.482596	SR
31.985076	33.482596	t token 
33.824422	35.940483	SR 
33.824422	35.940483	t t that 
36.721798	38.919245	SR
36.721798	38.919245	th th there
50.883129	52.445759	SR
50.883129	52.445759	s sign
6.574868	9.670535	SR
6.574868	9.670535	th th th there
23.039434	27.443684	SR
23.039434	27.443684	t t to
28.134957	34.052338	SR
28.134957	34.052338	b b b banks
37.915074	42.599667	SR
37.915074	42.599667	b b banks
45.640544	54.626197	SR
45.640544	54.626197	th th th there
66.433564	71.090763	SR
66.433564	71.090763	th th there
75.693171	79.336743	SR
75.693171	79.336743	c c oming 
83.117293	87.884072	SR
83.117293	87.884072	th th there
90.760577	96.650563	SR
90.760577	96.650563	th th thats
