0.000000	0.593536	Throughout 
0.593536	0.731925	the
0.735000	1.735000	 centuries 
2.254205	2.610941	people
2.610941	2.915397	have
2.915397	3.518159	explained
3.515084	3.733431	the
3.736506	4.214558	rainbow
4.214558	4.231773	in
4.232404	4.620307	various
4.615135	5.137511	ways
5.727123	6.047790	Some 
6.052962	6.368456	have
6.363284	6.989101	accepted
6.994273	7.232187	it
7.237188	7.413038	as
7.412733	7.533420	a
7.533420	8.255715	miracle
8.442231	8.899379	without 
8.899075	9.461859	physical
9.461859	10.303284	explanation
11.135272	11.457109	to 
11.457109	11.700661	the
11.700661	12.700661	hebrews
12.874932	13.466416	it
13.466416	13.762158	was
13.762158	13.918728	a
13.916926	14.421278	token
14.421278	14.839520	that
14.839520	15.233161	there
15.233161	15.460734	would
15.460734	15.575600	be
15.580103	16.075906	no
16.075906	16.558662	more
16.563011	17.132750	universal
17.137099	17.724235	floods
19.312410	19.692757	the
19.685442	20.029218	greeks 
20.029218	20.433689	used 
20.433689	20.647459	to
20.646797	21.151299	imagine
21.151299	21.690593	that
22.129858	22.312522	it
22.312522	22.512583	was
22.503884	22.651756	a
22.656105	23.230193	sign
23.225843	23.438952	from 
23.428780	23.598397	the 
23.589699	24.028963	gods
24.024614	24.326179	to
24.868349	25.507674	foretell
25.507674	25.878825	war
26.051318	26.162504	or
26.160966	26.280904	a
26.283979	26.728362	heavy
26.728362	27.106625	rain
0.080220	32.564871	_
0.080220	0.509970	Some 
0.509970	0.825120	have
0.830850	3.148142	B
0.830850	3.148142	ac pec ted accepted
3.148142	3.345753	it
3.342345	3.608098	as  
3.604691	3.780541	a 
3.778452	4.033983	miracle
4.030576	4.725620	physical
4.722213	5.856771	explanation
5.887434	6.209271	to 
6.204293	6.575664	the
6.572257	8.384824	B
6.572257	8.384824	h hebrews
8.384824	8.653983	it
8.650576	8.950399	was
8.950399	9.900974	depended
10.108806	10.502447	there
10.504028	10.731601	would
10.728895	10.994647	be
10.994647	11.340539	no
11.342169	11.631771	more
11.631771	12.201510	universal
12.200753	12.787889	floods
13.277499	13.657846	the
13.658361	14.002137	greeks 
14.002757	14.407228	used 
14.409956	14.565947	to
14.565947	15.005559	imagine
15.003533	15.309438	that
15.309438	15.487714	it
15.487714	15.687775	was
15.688274	15.757154	a
15.759180	16.210947	sign
16.214999	16.428108	from 
16.425688	16.595305	the 
16.593835	17.033099	gods
17.033447	17.296809	to
17.296809	18.052455	foretell
18.054481	18.257067	war
18.319869	18.510300	or
18.510300	18.630238	a
18.627800	18.921550	heavy
18.919524	19.174783	rain
32.564871	32.564871	it
